Country,male_suicide_avg,female_suicide_avg,both_suicide_avg,Temperature,Overall rank,Happiness Index
Afghanistan,4.3133333333333335,3.216666666666667,3.776666666666667,13.04,143,1.721
Albania,5.446666666666668,2.8266666666666667,4.14,12.44,87,5.304
Algeria,3.4299999999999997,1.87,2.6733333333333333,23.60,85,5.364
Argentina,16.393333333333334,3.82,9.96,16.30,48,6.188
Armenia,7.793333333333334,2.0799999999999996,4.81,7.82,82,5.455
Australia,19.37666666666667,6.216666666666666,12.743333333333332,22.05,10,7.057
Austria,22.763333333333332,6.72,14.62,7.44,14,6.905
Azerbaijan,4.793333333333333,1.2566666666666666,3.026666666666667,12.96,101,4.893
Bahrain,8.19,1.6900000000000002,5.830000000000001,27.69,62,5.959
Bangladesh,5.353333333333333,2.056666666666666,3.69,25.71,129,3.886
Belgium,24.573333333333338,9.97,17.176666666666666,10.67,16,6.894
Benin,9.516666666666667,2.8800000000000003,6.166666666666667,28.02,116,4.377
Bolivia,7.873333333333334,3.673333333333334,5.760000000000001,20.76,73,5.784
Bosnia and Herzegovina,17.926666666666666,4.453333333333333,11.04,10.35,65,5.877
Botswana,19.266666666666666,4.713333333333334,11.86,22.09,137,3.383
Brazil,11.943333333333332,3.1833333333333336,7.476666666666667,25.44,44,6.272
Bulgaria,19.049999999999997,5.656666666666666,12.15,11.35,81,5.463
Burkina Faso,10.743333333333334,3.193333333333334,6.886666666666667,30.40,110,4.548
Cambodia,6.626666666666666,2.733333333333333,4.656666666666667,27.41,119,4.341
Cameroon,12.126666666666669,3.4533333333333336,7.786666666666666,24.80,104,4.874
Canada,19.003333333333337,5.923333333333333,12.383333333333336,,15,6.9
Chad,8.463333333333333,3.1,5.756666666666668,27.63,113,4.471
Chile,16.703333333333333,3.486666666666667,10.006666666666666,9.39,38,6.36
China,10.32,7.109999999999999,8.770000000000001,7.59,60,5.973
Colombia,9.42,2.333333333333333,5.803333333333334,25.00,78,5.695
Comoros,7.536666666666666,4.456666666666667,5.993333333333333,23.73,132,3.566
Costa Rica,15.723333333333334,2.51,8.976666666666667,24.83,12,6.955
Croatia,23.296666666666667,7.173333333333333,14.983333333333334,11.96,63,5.942
Cyprus,6.2700000000000005,1.5733333333333333,3.8833333333333337,20.01,50,6.068
Denmark,16.013333333333332,6.473333333333334,11.226666666666668,8.90,2,7.583
Dominican Republic,8.473333333333334,1.97,5.233333333333333,24.55,69,5.823
Ecuador,12.823333333333332,3.5500000000000003,8.17,21.43,74,5.725
Egypt,2.3266666666666667,1.0033333333333332,1.6766666666666667,23.14,127,3.977
El Salvador,12.253333333333332,3.286666666666666,7.510000000000001,25.23,33,6.469
Estonia,25.19333333333333,6.006666666666667,15.056666666666668,6.34,34,6.448
Eswatini,39.45333333333334,5.683333333333334,22.23,20.64,135,3.502
Ethiopia,8.813333333333334,2.94,5.896666666666666,23.36,130,3.861
Finland,24.06,7.713333333333334,15.783333333333331,2.46,1,7.741
