Category,1991 Suicide Rate,1992 Suicide Rate,1996 Suicide Rate,1997 Suicide Rate,1995 Suicide Rate,2008 Suicide Rate,2009 Suicide Rate,2018 Suicide Rate,2001 Suicide Rate,2015 Suicide Rate,2000 Suicide Rate,2016 Suicide Rate,2002 Suicide Rate,2003 Suicide Rate,2017 Suicide Rate,2007 Suicide Rate,2006 Suicide Rate,2004 Suicide Rate,2010 Suicide Rate,2011 Suicide Rate,2005 Suicide Rate,1999 Suicide Rate,1998 Suicide Rate,Average suicide rate
Hungary,42.1,41.8,35.5,33.4,35.0,24.3,24.1,15.9,30.1,18.0,34.1,16.9,28.6,28.1,15.7,24.2,24.3,27.3,24.3,23.6,26.1,35.0,33.1,27.891304347826093
Slovenia,35.5,32.1,32.2,30.8,29.9,19.2,20.8,15.7,29.6,18.9,30.4,16.8,27.0,28.0,18.1,20.7,25.6,24.8,19.2,20.1,24.4,30.7,31.7,25.313043478260877
Lithuania,33.9,38.9,52.0,48.8,51.1,34.3,35.1,22.9,46.7,29.6,49.3,27.3,46.8,43.8,25.0,31.6,32.0,41.9,32.2,32.9,40.3,46.8,47.3,38.71739130434782
Latvia,30.7,37.6,38.9,37.6,43.1,23.7,23.6,14.7,30.9,18.6,33.8,17.7,29.7,26.7,17.3,20.4,21.6,24.8,20.1,20.5,25.1,32.7,35.6,27.19130434782609
Finland,30.2,28.9,24.3,25.8,27.3,19.3,19.1,14.4,23.1,13.2,22.4,14.1,21.0,20.4,14.8,18.5,19.9,20.3,17.6,16.6,18.6,23.4,23.9,20.743478260869566
Estonia,30.2,35.3,41.9,39.4,43.7,17.7,19.8,14.0,29.8,14.5,27.5,13.3,27.3,25.0,16.5,18.8,17.8,24.0,16.2,15.7,20.1,35.5,36.0,25.217391304347824
Austria,23.6,23.4,23.1,20.4,23.1,14.6,14.6,12.5,18.6,13.4,20.1,12.7,19.2,18.0,12.8,15.1,15.2,17.3,14.4,14.6,16.8,19.9,20.1,17.543478260869566
Switzerland,23.2,21.2,20.7,19.2,20.7,16.7,13.8,11.1,18.6,12.3,19.2,11.5,19.7,17.2,11.6,17.5,17.1,17.2,12.3,12.5,17.2,18.3,19.6,16.886956521739133
Denmark,23.2,22.8,17.4,15.9,18.1,11.0,11.2,9.7,13.8,9.7,13.9,9.9,13.0,11.9,9.8,10.6,12.0,12.3,10.1,10.5,11.8,14.6,14.6,13.382608695652179
France,21.4,21.4,19.9,19.5,21.0,16.5,16.7,12.9,18.0,13.2,18.8,12.3,18.1,18.3,12.2,16.3,17.0,18.0,16.3,16.2,17.7,18.0,18.6,17.317391304347826
Czechia,20.8,21.4,16.3,17.0,18.2,13.0,13.6,12.3,16.1,12.6,16.5,12.0,15.3,17.1,12.8,13.1,13.4,15.4,13.9,14.7,15.2,16.4,16.4,15.3695652173913
Luxembourg,20.5,15.6,18.1,20.0,15.6,8.7,9.6,8.2,17.4,11.5,15.0,7.5,20.1,11.0,8.7,16.6,13.8,13.8,10.5,10.7,10.7,16.6,15.2,13.713043478260868
Belgium,18.6,19.2,20.0,21.4,21.6,18.3,18.3,15.3,21.0,16.2,20.9,16.3,20.0,20.1,14.8,17.1,18.1,18.8,18.2,18.6,19.1,18.2,20.0,18.700000000000003
Germany,17.7,16.8,14.9,14.8,15.8,10.6,10.7,10.0,13.2,10.9,13.2,10.6,13.1,13.0,9.9,10.6,11.1,12.4,11.2,11.2,11.8,13.4,14.1,12.652173913043475
Japan,17.6,18.1,17.8,18.7,17.5,22.3,22.8,15.0,22.2,17.0,23.0,15.6,22.4,24.0,15.2,22.7,22.2,22.5,21.7,21.4,22.7,24.2,24.7,20.491304347826084
